"Panas.+","Panas.-","BFI.(E)","BFI.(A)","BFI.(C)","BFI.(N)","BFI.(O)","EI.(Self.A)","EI.(Self.M)","EI.(Social.A)","EI.(RM)","Total","PAQ","CBCL"
2,1,2,2,2,2,3,73,65,62,70,2,1,2
2,1,2,3,2,2,3,76,45,72,75,2,2,2
2,1,2,2,2,2,2,83,52,77,89,3,2,2
2,2,2,2,2,2,3,85,62,93,89,4,2,2
2,1,2,3,2,3,2,89,62,88,77,3,1,2
2,2,2,2,2,2,2,90,75,68,53,3,2,2
2,1,2,2,2,2,3,74,36,81,75,2,2,2
2,1,2,2,2,1,2,72,49,76,67,2,1,2
2,2,2,2,1,3,2,79,62,62,56,2,2,2
2,2,2,2,2,2,2,85,93,93,59,4,2,2
2,2,2,3,2,2,2,46,49,88,53,4,3,2
2,2,2,2,2,2,3,67,45,64,43,1,2,2
2,2,2,2,2,2,2,77,74,72,83,3,1,1
2,1,2,2,2,2,3,83,78,70,59,3,2,1
2,2,2,3,2,2,2,76,68,68,56,2,3,2
2,1,2,2,2,1,3,76,40,74,70,2,1,2
2,1,2,2,2,1,2,67,49,74,65,2,2,2
2,2,2,3,2,2,2,77,71,70,53,2,2,2
3,1,2,3,2,3,3,77,37,77,70,2,2,1
2,2,2,2,2,2,2,85,62,90,78,3,1,2
2,1,2,3,2,2,3,67,68,74,61,2,2,2
2,2,2,2,2,2,2,79,73,88,78,3,2,2
2,1,2,2,3,2,3,79,62,77,67,3,1,2
2,2,2,2,2,1,2,76,74,88,86,4,1,2
2,2,2,2,2,3,2,79,78,79,78,3,1,2
2,2,1,1,2,2,2,85,85,81,86,4,1,2
2,2,2,1,2,3,2,79,78,81,70,3,1,2
2,2,3,2,3,2,2,77,62,79,75,3,1,2
2,1,2,1,1,3,2,67,62,70,65,2,1,2
2,2,1,2,2,2,2,70,76,79,77,3,1,2
2,1,2,2,2,1,2,83,91,81,77,4,1,1
2,2,2,2,2,2,2,85,80,81,77,4,3,2
2,1,2,2,2,3,2,79,96,77,80,4,2,2
2,1,2,1,2,2,2,76,73,90,77,3,1,2
