"Panas..","Panas...1","BFI..E.","BFI..A.","BFI..C.","BFI..N.","BFI..O.","EI..Self.A.","EI..Self.M.","EI..Social.A.","EI..RM.","Total","PAQ","CBCL"
1,1,2,1,1,2,2,82,85,90,84,4,1,2
1,2,2,2,2,2,1,76,71,76,71,3,1,3
2,2,2,2,2,2,2,82,73,74,61,3,1,3
2,1,2,2,2,2,2,85,78,70,57,3,2,3
3,1,2,2,2,2,2,73,73,77,73,3,1,1
1,2,1,1,2,3,1,89,87,93,80,4,1,3
1,2,3,1,2,3,2,76,82,88,71,4,1,3
2,1,3,2,2,2,2,90,52,68,50,2,2,2
1,1,2,2,2,1,2,77,74,79,71,3,1,3
2,1,2,2,2,2,2,86,65,81,75,3,1,1
1,1,2,2,2,2,2,82,62,76,77,3,1,2
1,1,2,2,2,2,2,74,65,68,61,2,2,2
2,1,1,2,1,3,2,73,80,72,59,3,3,2
1,1,2,1,2,2,2,85,58,76,57,2,1,3
2,2,1,1,1,2,2,85,76,88,84,4,1,3
1,1,2,1,1,2,2,77,68,65,75,3,1,3
2,1,2,1,2,2,2,83,73,68,70,3,2,2
1,1,2,1,1,2,1,83,87,96,91,5,1,3
2,1,2,2,1,1,2,73,49,65,48,1,2,3
2,1,1,1,2,2,1,86,80,81,86,4,1,1
2,1,2,2,2,2,2,82,85,88,77,4,1,2
1,1,2,1,2,3,2,76,80,88,71,4,1,3
2,1,1,1,1,3,1,86,94,88,95,5,2,3
2,1,3,2,2,2,2,79,65,72,71,3,1,3
1,1,2,2,1,2,2,86,65,93,75,4,1,2
1,1,3,2,2,3,2,96,37,74,87,3,3,3
2,1,2,1,1,2,2,74,71,79,78,3,1,3
3,1,2,1,1,3,2,89,75,79,70,4,1,1
1,1,2,2,2,2,2,77,80,88,77,4,1,3
2,2,1,1,1,3,2,85,94,96,96,5,3,3
1,2,2,1,2,2,2,92,93,88,83,4,1,3
1,1,2,2,2,2,2,76,39,64,50,1,3,3
2,1,2,2,2,1,3,73,40,68,67,2,1,2
1,1,1,1,2,2,2,94,76,93,87,4,3,3
1,1,2,2,2,2,2,76,68,81,86,4,3,3
1,1,2,2,2,3,2,76,76,70,77,3,2,3
2,1,3,1,1,2,2,77,85,77,80,4,1,2
2,1,2,2,2,2,2,70,52,64,50,1,2,3
1,1,2,2,2,2,1,85,91,70,75,4,1,3
1,1,2,2,2,3,2,79,75,77,75,3,3,3
2,2,2,1,1,2,2,89,76,81,67,4,1,3
2,2,1,2,1,2,2,73,62,90,78,3,1,3
3,1,2,2,1,2,2,73,73,68,61,2,2,1
2,1,1,1,2,2,2,73,65,68,77,3,1,1
1,1,2,2,2,2,2,70,75,79,57,3,2,3
3,1,1,1,1,2,2,74,85,72,67,3,1,3
1,1,2,2,2,2,2,72,55,76,61,2,2,1
2,1,3,1,2,2,2,77,45,74,65,2,2,2
1,1,2,2,1,3,2,79,73,88,77,4,1,3
1,1,2,2,1,2,2,85,75,92,71,4,1,1
2,1,2,1,1,2,2,86,80,88,91,4,1,3
1,1,1,1,2,3,2,77,74,65,70,3,1,3
1,1,2,1,2,3,2,82,73,90,77,4,1,3
1,1,2,1,1,3,2,77,76,74,71,3,3,3
2,1,2,1,1,3,2,72,73,74,53,2,1,3
2,1,2,2,1,3,2,83,68,77,75,3,1,3
1,1,2,2,2,3,2,74,92,81,70,4,1,3
2,1,2,2,2,2,2,77,76,77,75,3,1,3
2,1,1,2,2,3,3,77,76,76,89,4,1,3
1,1,2,1,2,2,2,83,80,88,84,4,3,3
1,1,2,1,2,2,2,82,55,68,56,2,1,3
1,1,2,2,1,2,2,72,74,76,78,3,1,3
1,1,2,1,1,3,2,89,93,77,75,4,3,1
1,1,2,1,2,2,1,86,87,79,89,4,1,3
1,1,2,2,2,2,2,85,71,76,80,4,2,1
1,1,2,2,2,2,2,73,58,70,56,2,1,3
2,1,2,2,2,2,2,79,75,74,77,3,1,3
2,1,2,2,2,2,2,73,68,68,65,2,3,3
2,2,2,1,2,2,1,82,78,88,73,4,1,3
1,1,1,2,2,2,2,79,62,77,73,3,1,3
1,1,1,1,2,3,1,77,76,76,89,4,3,3
2,1,2,2,2,2,2,74,52,74,61,2,1,3
1,1,2,2,2,2,2,79,73,72,59,3,1,2
1,1,2,2,2,2,2,82,45,79,70,2,3,3
1,1,2,2,2,2,2,74,52,62,48,1,3,3
1,1,2,2,2,2,2,98,74,77,75,4,3,2
1,1,2,2,2,2,2,73,73,74,77,3,1,1
2,1,2,1,1,3,2,82,82,76,71,4,1,3
3,1,3,2,2,2,2,74,55,64,61,2,1,3
2,1,2,1,1,2,2,73,74,93,83,4,1,3
1,2,2,2,2,2,2,86,76,77,78,4,1,3
1,1,2,1,1,1,2,83,68,74,71,3,1,3
1,1,2,1,2,2,2,82,73,90,77,4,3,3
2,2,1,2,2,2,2,58,68,72,48,2,1,3
2,2,1,2,2,2,3,86,45,65,30,1,1,3
2,1,2,2,1,2,2,92,74,88,100,4,1,3
1,2,2,1,2,2,2,74,65,64,53,2,1,3
1,1,2,2,2,2,2,73,91,72,75,4,1,3
1,2,2,2,2,2,2,76,52,77,71,2,1,3
1,1,2,2,2,3,2,74,65,70,59,2,3,3
1,1,2,1,2,2,2,67,52,74,59,2,1,3
1,2,2,1,1,3,2,92,96,88,89,5,1,3
1,1,2,2,2,2,2,58,58,70,70,2,3,1
2,1,2,1,1,3,2,79,75,62,57,2,1,3
2,1,1,2,2,2,1,85,80,81,73,4,1,2
2,1,2,2,2,2,2,77,68,68,53,2,1,3
2,1,2,2,2,2,2,82,78,77,75,4,1,3
2,1,2,2,2,2,2,77,62,70,70,3,2,3
1,1,2,1,1,2,2,61,58,77,75,2,3,3
2,1,2,1,1,3,2,74,68,76,70,3,1,3
1,1,2,2,2,2,2,82,68,65,77,3,2,2
2,1,2,2,2,2,2,64,62,65,48,2,1,3
1,1,2,1,1,3,2,72,49,40,61,1,3,2
3,1,2,1,1,3,2,79,75,65,61,3,1,3
1,1,2,2,1,2,2,89,76,88,80,4,1,3
2,1,2,2,2,2,2,74,55,64,59,2,1,3
1,2,2,2,2,3,2,70,62,70,61,2,1,3
1,1,2,1,1,3,2,76,80,88,71,4,1,3
1,1,2,2,2,2,2,61,40,70,70,2,2,3
1,1,2,2,1,3,2,79,78,81,83,4,1,3
1,1,2,2,2,2,2,72,62,62,57,2,1,3
1,1,2,1,1,3,2,82,75,76,77,4,1,3
2,1,2,2,2,1,2,82,65,70,78,3,2,3
1,2,1,1,1,2,2,82,75,88,84,4,1,3
1,1,2,1,2,2,2,67,52,77,59,2,1,1
1,1,1,1,1,3,2,72,49,32,59,1,1,2
1,2,1,1,1,3,2,79,74,76,59,3,1,3
2,1,1,2,2,2,2,74,49,58,50,1,1,1
1,1,1,2,1,3,2,82,71,88,80,4,2,3
2,1,3,1,2,2,2,73,65,77,65,3,1,3
2,1,2,1,1,2,2,86,91,76,77,4,2,3
2,1,2,2,1,2,2,73,65,72,67,2,2,2
1,1,2,2,2,2,2,74,71,76,75,3,1,3
1,1,2,1,1,2,2,77,85,72,71,3,2,3
1,2,2,2,2,2,2,82,49,77,83,3,1,3
1,2,1,2,1,3,2,70,71,76,83,3,1,3
1,1,1,1,1,2,1,82,73,77,67,3,2,3
2,1,2,1,1,2,1,77,82,81,87,4,1,3
2,1,2,1,1,3,1,82,87,77,77,4,3,3
1,1,2,2,1,2,2,74,75,76,75,3,3,3
2,1,2,2,1,3,2,82,85,76,71,4,3,3
2,1,1,1,1,2,2,76,85,88,84,4,1,3
1,1,2,1,1,2,2,89,85,92,70,4,1,3
1,1,2,1,1,3,2,90,99,92,93,5,1,3
1,1,2,2,1,2,2,70,68,90,73,3,1,1
2,1,2,2,2,2,2,77,76,79,80,4,1,3
2,1,2,2,1,2,2,79,76,79,80,4,2,3
1,2,2,1,1,3,2,83,80,76,78,4,3,3
3,1,2,2,2,3,2,79,68,72,65,3,1,2
2,1,2,1,1,3,2,83,82,88,80,4,1,3
1,1,2,2,2,2,2,74,49,65,61,2,2,2
2,1,2,2,2,2,2,64,58,65,56,2,1,3
2,2,2,2,2,2,2,72,58,68,61,2,1,3
2,2,1,1,1,3,2,70,85,74,65,3,1,2
1,2,3,2,2,1,1,79,78,72,57,3,1,2
2,1,2,2,2,2,2,64,58,70,59,2,2,3
2,2,2,2,2,2,2,85,75,81,73,4,1,3
2,1,2,2,2,3,2,58,65,47,56,1,3,3
1,1,2,2,2,2,2,72,55,72,73,2,2,1
2,1,2,2,2,2,2,73,62,72,71,3,1,3
1,2,2,1,1,2,2,76,78,79,71,3,1,3
1,1,2,1,1,3,2,76,82,88,87,4,1,3
1,2,2,1,1,2,2,76,78,92,78,4,1,3
1,2,2,1,1,3,1,74,71,79,71,3,1,3
1,1,2,2,2,2,2,90,75,79,77,4,3,3
1,1,1,2,1,2,2,92,87,88,87,4,1,3
2,1,2,1,1,3,2,74,71,74,65,3,1,3
3,1,2,2,2,2,2,73,73,77,73,3,1,1
2,1,3,2,2,2,2,90,52,68,50,2,2,2
2,1,1,2,1,3,2,73,80,72,59,3,3,2
2,1,1,1,2,2,1,86,80,81,86,4,1,1
2,1,2,1,1,2,2,74,71,79,78,3,1,3
3,1,2,1,1,3,2,89,75,79,70,4,1,1
2,1,3,1,1,2,2,77,85,77,80,4,1,2
3,1,2,2,1,2,2,73,73,68,61,2,2,1
1,1,2,2,2,2,2,72,55,76,61,2,2,1
1,1,2,2,2,2,2,85,71,76,80,4,2,1
2,1,2,2,2,2,2,73,68,68,65,2,3,3
1,1,2,2,2,2,2,58,58,70,70,2,3,1
2,1,1,2,2,2,1,85,80,81,73,4,1,2
1,1,2,1,2,2,2,67,52,77,59,2,1,1
2,1,2,2,1,3,2,82,85,76,71,4,3,3
2,1,2,2,2,2,3,73,65,62,70,2,1,2
2,1,2,3,2,2,3,76,45,72,75,2,2,2
2,1,2,2,2,2,2,83,52,77,89,3,2,2
2,2,2,2,2,2,3,85,62,93,89,4,2,2
2,1,2,3,2,3,2,89,62,88,77,3,1,2
2,2,2,2,2,2,2,90,75,68,53,3,2,2
2,1,2,2,2,2,3,74,36,81,75,2,2,2
2,1,2,2,2,1,2,72,49,76,67,2,1,2
2,2,2,2,1,3,2,79,62,62,56,2,2,2
2,2,2,2,2,2,2,85,93,93,59,4,2,2
2,2,2,3,2,2,2,46,49,88,53,4,3,2
2,2,2,2,2,2,3,67,45,64,43,1,2,2
2,2,2,2,2,2,2,77,74,72,83,3,1,1
2,1,2,2,2,2,3,83,78,70,59,3,2,1
2,2,2,3,2,2,2,76,68,68,56,2,3,2
2,1,2,2,2,1,3,76,40,74,70,2,1,2
2,1,2,2,2,1,2,67,49,74,65,2,2,2
2,2,2,3,2,2,2,77,71,70,53,2,2,2
3,1,2,3,2,3,3,77,37,77,70,2,2,1
2,2,2,2,2,2,2,85,62,90,78,3,1,2
2,1,2,3,2,2,3,67,68,74,61,2,2,2
2,2,2,2,2,2,2,79,73,88,78,3,2,2
2,1,2,2,3,2,3,79,62,77,67,3,1,2
2,2,2,2,2,1,2,76,74,88,86,4,1,2
2,2,2,2,2,3,2,79,78,79,78,3,1,2
2,2,1,1,2,2,2,85,85,81,86,4,1,2
2,2,2,1,2,3,2,79,78,81,70,3,1,2
2,2,3,2,3,2,2,77,62,79,75,3,1,2
2,1,2,1,1,3,2,67,62,70,65,2,1,2
2,2,1,2,2,2,2,70,76,79,77,3,1,2
2,1,2,2,2,1,2,83,91,81,77,4,1,1
2,2,2,2,2,2,2,85,80,81,77,4,3,2
2,1,2,2,2,3,2,79,96,77,80,4,2,2
2,1,2,1,2,2,2,76,73,90,77,3,1,2
